"Model_data","Units","Description"
2.32656612355021,"dimensionless","Inshore_offshore_ratio_of_annual_mean_omnivzoo_depth_av_conc"
0.913006566616229,"dimensionless","Inshore_offshore_ratio_of_annual_mean_phyt_surface_layer_conc"
0.751605536798749,"dimensionless","Inshore_offshore_ratio_of_annual_mean_nitrate_surface_layer_conc"
1.904929953984,"dimensionless","Inshore_offshore_ratio_of_annual_mean_ammonia_surface_layer_conc"
0.75675527403195,"dimensionless","Inshore_offshore_ratio_of_annual_mean_planktivorous_fish_density_per_m2"
5.86629258863791,"dimensionless","Inshore_offshore_ratio_of_annual_mean_demersal_fish_density_per_m2"
4.75953595070783e-05,"mMN/m2/y","Annual_bycatch_of_birds"
0.000624042662251374,"mMN/m2/y","Annual_bycatch_of_pinnipeds"
0.000304456338094908,"mMN/m2/y","Annual_bycatch_of_cetaceans"
0.158516146907184,"dimensionless","Proportion_of_macrophyte_annual_nitrogen_uptake_exported_as_beachcast"
0.00884555444274832,"mMN/m2/y","Obs_cetacean_landings_by_whale_hunters"
