"Annual_measure","SD_of_measure","Model_data","Use1_0","Chi","Name","Units","Description"
7.3478,3.67,5.53942295207697,1,0.121399206596486,"Obs_omni_pb","/y","Annual_gross_PB_ratio_omniv_zooplankton"
1.9581,0.979,2.21434330269967,1,0.0342538717450716,"Obs_carn_pb","/y","Annual_gross_PB_ratio_carniv_zooplankton"
4,2,0.35354938294877,1,1.66207526282416,"Obs_fishplar_pb","/y","Annual_gross_PB_ratio_larvae_of_planktivorous_fish"
4,2,2.13347107844911,1,0.435491276873239,"Obs_fishdlar_pb","/y","Annual_gross_PB_ratio_larvae_of_demersal_fish"
1.6068,0.803,0.681559661324708,1,0.663816482331953,"Obs_fishp_pb","/y","Annual_gross_PB_ratio_planktivorous_fish"
0.5377,0.269,0.491288487645389,1,0.0148839048592625,"Obs_fishd_pb","/y","Annual_gross_PB_ratio_demersal_fish"
0.6908,0.345,0.329472547405633,1,0.548445822299242,"Obs_fishm_pb","/y","Annual_gross_PB_ratio_migratory_fish"
1,0.5,0.139187613404855,1,1.48199592983126,"Obs_bird_pb","/y","Annual_net_PB_ratio_birds"
0.143,0.0715,0.0525916451859441,1,0.799420081195582,"Obs_seal_pb","/y","Annual_net_PB_ratio_pinnipeds"
0.0356,0.0178,0.106240908542078,1,7.87485475263581,"Obs_ceta_pb","/y","Annual_net_PB_ratio_cetaceans"
0.39,0.39,0.198550256879972,1,0.120489822947814,"Obs_exud_C_kelp","dimensionless","Annual_average_proportion_of_macrophyte_C_uptake_which_is_exuded"
0.12,0.12,0.123449902417579,1,0.000413257871208896,"Obs_kelp_NC","dimensionless","Annual_average_molar_NC_ratio_of_macrophytes"
90.7,90.7,58.8108376385279,1,0.061807567754676,"Obs_Denitrif","mMN/m2/y","Annual_denitrification"
0.03203,0.03203,0.0350657951131602,1,0.00449159967843892,"Obs_Dfdiscardp","dimensionless","Proportion_of_demersal_fish_catch_discarded"
NA,NA,1.91197118090755,0,NA,"Obs_s_x_ammonia","mMN/m3","Annual_average_ammonia_conc_in_porewater_of_sand_gs_0.25mm"
18.56,18.56,203.147390549252,0,NA,"Obs_d_x_ammonia","mMN/m3","Annual_average_ammonia_conc_in_porewater_of_mud_gs_0.12mm"
NA,NA,6.03056206238487,0,NA,"Obs_s_x_nitrate","mMN/m3","Annual_average_nitrate_conc_in_porewater_of_sand_gs_0.25mm"
